Statement Author,Statement,Rating
Fentrice Driskell,"""$1 of every $3 (Ron DeSantis) spends comes from the federal government.""",true
Robert Ortt,"If New York’s proposed limits on natural gas in buildings take effect, the grid today can’t handle the increased electric load.",true
Tony Evers,"“Wisconsin is the nation’s top cranberry producer — in fact, our farmers harvest around 60 percent of the country’s crop.”",true
Morgan Luttrell,"""Biden drained America's Strategic Petroleum Reserves to the lowest level since 1984.""",true
Melissa Agard,"""Historically, our spring elections (including for state Supreme Court) have a smaller turnout associated with them.""",true
Tammy Baldwin,"""Latina workers make 54 cents for every dollar earned by white, non-Hispanic men.""",true
Kevin Brady,Joe Biden’s $36 billion for a union pension fund is “the largest private pension bailout in American history.”,true
Elise Stefanik,Proposed rule would limit milk for WIC participants,true
Bryan Steil,"In Milwaukee, ""The (homicide) rate has nearly doubled in the past two years.""",true
Joe Biden,“Gas prices are down back to where they were before Russia invaded Ukraine.”,true
Joe Manchin,West Virginia is poised to “receive $25M for 160 orphaned well clean-up projects across the state.”,true
Everytown for Gun Safety,“Kari Lake is opposed to red flag laws.”,true
Liquid Death,"In Georgia, it's ""illegal to give people water within 150 feet of a polling place"" and ""punishable by up to a year in prison.""",true
Ashley Hinson,"Nancy Pelosi gave “$30,000 … to boost @LizMathis1’s campaign”",true
Jevin Hodge,David Schweikert has “been convicted of 11 House ethics violations.”,true
A Better Wisconsin Together,"Says Tim Michels ""opposes closing the loophole that allows domestic abusers to buy guns.""",true
West Virginia Republican Party,“Overdoses reached an all-time high in 2021.”,true
Democratic Senatorial Campaign Committee,"Herschel Walker misled about “personally treating 4,500 veterans per year,” about “graduating from college” and about “working in law enforcement.”",true
Kathy Hoffman,"“Since 2019, I've successfully lobbied for the funds to add hundreds of school counselors, lowering our student to school counselor ratio by 20%.”",true
Elizabeth Warren,"""40% of the folks who have student loans do not have a college diploma, four-year diploma. These are people who are truck drivers and who are nail technicians and nurses’ aides.”",true
Instagram posts,"Image claims to show a list of ""Republican members of Congress whose PPP loans were forgiven.""",true
League of Conservation Voters,Says Republican U.S. Sen. Ron Johnson “called climate change ‘bull----’ during a record heatwave” and “raked in over $700k in fossil fuel cash.”,true
